feature,standardized_beta,odds_ratio_per_1sd,abs_beta
current_ticker_available,1.6583675958732498,5.250732527265662,1.6583675958732498
hq_group_US,0.8141171615116753,2.2571820652602845,0.8141171615116753
hq_group_Asia-Pacific / Israel,-0.5741175672028267,0.5632016371884406,0.5741175672028267
sic_division_Wholesale,0.558311842165093,1.74771958199574,0.558311842165093
employee_missing,-0.45722638293472784,0.6330370150629435,0.45722638293472784
sic_division_Services,-0.42900284921601095,0.6511580738883797,0.42900284921601095
market_tier_clean_Global Market,-0.3926962886807804,0.6752337925932425,0.3926962886807804
company_sector_Transportation / utilities,-0.3802639087447982,0.6836809560188699,0.3802639087447982
hq_group_Other non-US,-0.35785072497648235,0.6991774369453595,0.35785072497648235
market_tier_clean_Unknown market tier,0.355623742074478,1.427070500649822,0.355623742074478
company_sector_Consumer / retail,-0.3511101085038929,0.7039062435250706,0.3511101085038929
hq_group_China / Hong Kong,-0.3344109655615526,0.7157595692423367,0.3344109655615526
sic_division_Mining,0.29479758861283184,1.3428545221292083,0.29479758861283184
initial_form_type_10-K,-0.2723134984404459,0.7616154584012299,0.2723134984404459
industry_theme_Life sciences / medical,-0.2679304757390451,0.7649609625997246,0.2679304757390451
company_sector_Energy / industrials,0.2594984490488497,1.2962797732435192,0.2594984490488497
"filer_category_simplified_accelerated, smaller reporting, egc",-0.2309095310738162,0.7938112780407331,0.2309095310738162
company_sector_Other / mixed,-0.20288616986833458,0.8163711637738883,0.20288616986833458
initial_form_type_PRE 14A,-0.1979808182498487,0.8203855894183097,0.1979808182498487
listing_year_2023,0.17930674335163269,1.1963876718530086,0.17930674335163269
company_sector_Life sciences / medical,0.173604485105064,1.189584974187414,0.173604485105064
company_sector_Communications / media,-0.17304299926625324,0.8411014473219609,0.17304299926625324
"filer_category_simplified_not stated, egc",0.16978626869730437,1.1850515416414695,0.16978626869730437
is_accelerated_any,-0.16978626869730437,0.8438451534478019,0.16978626869730437
sic_division_Transport/utilities,0.1600521291472656,1.173572046707327,0.1600521291472656
"filer_category_simplified_accelerated, smaller reporting",0.15632702134843518,1.1692084967165717,0.15632702134843518
sic_division_Agriculture,-0.15533220383237356,0.8561307203310448,0.15533220383237356
industry_theme_Retail / consumer,0.15515860265373788,1.1678431694432931,0.15515860265373788
sic_division_Retail,0.15515860265373704,1.1678431694432923,0.15515860265373704
industry_theme_Technology,0.15247726265570533,1.164715979245315,0.15247726265570533
company_sector_Technology,0.15247726265570533,1.164715979245315,0.15247726265570533
days_before_due,0.1449494439830134,1.1559811269892122,0.1449494439830134
geo_scope_Actual US state HQ,-0.1430464458461233,0.866713812704252,0.1430464458461233
geo_scope_Non-US / non-state HQ,0.14304644584612308,1.153783388867288,0.14304644584612308
is_actual_us_state_hq,-0.1430464458461213,0.8667138127042537,0.1430464458461213
hq_group_Europe,-0.14147534811121562,0.8680765750483065,0.14147534811121562
initial_publication_lag_days,-0.13782095193262472,0.8712546742468146,0.13782095193262472
log_employee_count,-0.13479322902237587,0.873896589460076,0.13479322902237587
sic_division_Construction,-0.1332231126473164,0.8752697865628165,0.1332231126473164
listing_year_2022,-0.1255944199566891,0.8819724846916547,0.1255944199566891
sic_division_Manufacturing,0.09617988943271609,1.100957096729022,0.09617988943271609
is_smaller_reporting,-0.09055713154230684,0.9134221471941671,0.09055713154230684
issuer_type_domestic,-0.08347359373730588,0.9199153778776397,0.08347359373730588
issuer_type_foreign_private_issuer,0.08347359373730566,1.0870565098141152,0.08347359373730566
filer_category_simplified_large accelerated,-0.08319673256076403,0.9201701019914597,0.08319673256076403
is_large_accelerated,-0.0831967325607637,0.92017010199146,0.0831967325607637
company_sector_Services,0.06999372878492752,1.0725014553458347,0.06999372878492752
initial_form_type_20-F,0.06998381273679166,1.0724908204225059,0.06998381273679166
initial_form_type_DEF 14A,0.065940399890817,1.0681630526342434,0.065940399890817
listing_year_2021,-0.06522243405409947,0.9368590508424415,0.06522243405409947
market_tier_clean_Global Select,-0.059838440787575053,0.9419166966119228,0.059838440787575053
sic_division_Finance/real estate,-0.057139202073258656,0.9444625890650573,0.057139202073258656
company_sector_Finance / real estate,-0.05713920207325799,0.9444625890650579,0.05713920207325799
filer_category_simplified_accelerated,-0.05619518911693072,0.9453545949522156,0.05619518911693072
industry_theme_Other industries,0.04050939585244464,1.041341093943815,0.04050939585244464
industry_theme_Finance / real estate,0.027552550728635973,1.0279356324543911,0.027552550728635973
market_tier_clean_Capital Market,0.012504003798999403,1.0125825057093416,0.012504003798999403
is_egc,-0.0067223383530042174,0.9933002060182116,0.0067223383530042174
company_sector_Manufacturing / industrials,0.0017370138640339398,1.0017385233464866,0.0017370138640339398
"filer_category_simplified_accelerated, egc",0.00035729930033266417,1.0003573631393305,0.00035729930033266417
